ID,Ycoordinate,Xcoordinate,elevation,slope,aspect,dryland_category,Continent,country,district,realm,biome,ecoregion,fao_ecozones
As38411,17.247017,102.546179,,,,,Asia,Thailand,Nong Bua Lamphu,IM,1,40138,12
As38097,16.153701,103.666515,,,,,Asia,Thailand,Roi Et,IM,2,40202,13
As38251,15.411169,103.89837,,,,,Asia,Thailand,Surin,IM,2,40202,13
As44067,6.244795,101.215438,,,,,Asia,Thailand,Yala,IM,1,40146,11
As37280,12.954207,101.77518,,,,,Asia,Thailand,Chanthaburi,IM,1,40106,13
As42373,10.630063,106.051123,,,,,Asia,Viet Nam,Long An,IM,1,40165,12
As36517,11.742184,108.929999,,,,,Asia,Viet Nam,Ninh Thuan,IM,2,40211,12
As36285,17.975989,105.692043,,,,,Asia,Viet Nam,Quang Binh,IM,1,40136,11
As36666,11.902075,107.788456,,,,,Asia,Viet Nam,Dak Nong,IM,1,40152,12
As42446,9.460597,105.784902,,,,,Asia,Viet Nam,Soc Trang,IM,14,41402,13
As32113,20.864036,103.49553,,,,,Asia,Viet Nam,Son La,IM,1,40137,16
As32321,19.093353,104.418908,,,,,Asia,Viet Nam,Nghe An,IM,1,40136,12
As36406,13.587064,108.452891,,,,,Asia,Viet Nam,Gia Lai,IM,2,40210,12
As32176,23.057802,105.681179,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,25
As36454,18.288918,105.419091,,,,,Asia,Viet Nam,Ha Tinh,IM,1,40136,11
As32072,21.218671,104.330459,,,,,Asia,Viet Nam,Son La,IM,1,40137,12
As32210,21.377134,107.077493,,,,,Asia,Viet Nam,Lang Son,IM,1,40149,12
As32378,21.787698,104.231625,,,,,Asia,Viet Nam,Yen Bai,IM,1,40137,16
As32410,21.321198,106.266375,,,,,Asia,Viet Nam,Bac Giang,IM,1,40149,12
As36650,12.339846,107.844821,,,,,Asia,Viet Nam,Dak Nong,IM,2,40210,13
As42443,9.592856,105.940411,,,,,Asia,Viet Nam,Soc Trang,IM,14,41402,13
As36270,13.174689,109.280806,,,,,Asia,Viet Nam,Phu Yen,IM,2,40211,14
As36669,12.231926,107.539216,,,,,Asia,Viet Nam,Dak Nong,IM,1,40152,11
As36372,11.316422,107.714063,,,,,Asia,Viet Nam,Binh Thuan,IM,1,40152,12
As36188,12.13565,108.255708,,,,,Asia,Viet Nam,Lam Dong,IM,1,40152,11
As32393,22.199425,105.896693,,,,,Asia,Viet Nam,Bac Kan,IM,1,40149,12
As36652,12.122966,107.234273,,,,,Asia,Viet Nam,Dak Nong,IM,2,40210,12
As32174,22.566432,106.433042,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,21
As42321,10.662989,105.768148,,,,,Asia,Viet Nam,Dong Thap,IM,1,40165,12
As32098,21.344398,104.504425,,,,,Asia,Viet Nam,Son La,IM,1,40137,16
As32165,22.751705,105.968505,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,21
As36254,12.179701,108.991265,,,,,Asia,Viet Nam,Khanh Hoa,IM,1,40152,14
As32080,20.966172,103.984047,,,,,Asia,Viet Nam,Son La,IM,1,40137,12
As36338,16.728888,106.614807,,,,,Asia,Viet Nam,Quang Tri,IM,1,40136,11
As36232,13.794302,109.075177,,,,,Asia,Viet Nam,Binh Dinh,IM,2,40211,12
