system:index,AssemblageMode,latitude,longitude,x,.geo
8_7273,8,12.57340462,109.3863699,0.015239656,"{""geodesic"":true,""type"":""Point"",""coordinates"":[109.38636992726533,12.573404621452465]}"
8_6803,8,14.52131148,107.6915185,0.015496303,"{""geodesic"":true,""type"":""Point"",""coordinates"":[107.6915184806927,14.52131148353953]}"
8_12843,8,19.78804416,103.8320865,0.016293431,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.83208652547457,19.78804416281008]}"
8_262,8,25.93225121,96.08950709,0.01785352,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.08950709153721,25.93225121160961]}"
8_8818,8,18.70575391,96.84166648,0.018174443,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.84166647894129,18.705753908501606]}"
8_13523,8,19.21779362,102.1749643,0.018483937,"{""geodesic"":true,""type"":""Point"",""coordinates"":[102.17496432083549,19.217793620450337]}"
8_14719,8,19.12832142,103.4426668,0.018959798,"{""geodesic"":true,""type"":""Point"",""coordinates"":[103.44266684980316,19.128321418151927]}"
9_9701,8,23.57174814,93.83114247,0.16612757,"{""geodesic"":true,""type"":""Point"",""coordinates"":[93.8311424672283,23.571748139525965]}"
9_12036,8,10.19403693,98.02582569,0.511003276,"{""geodesic"":true,""type"":""Point"",""coordinates"":[98.02582568648465,10.19403692840228]}"
9_10472,8,27.0078041,96.93733706,0.984564405,"{""geodesic"":true,""type"":""Point"",""coordinates"":[96.9373370567014,27.007804101287185]}"
