latitude,longitude,ID,elevation,slope,aspect,dryland_category,Continent,country,district,realm,biome,ecoregion,fao_ecozones
23.057802,105.681179,As32176,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,25
18.288918,105.419091,As36454,,,,,Asia,Viet Nam,Ha Tinh,IM,1,40136,11
21.218671,104.330459,As32072,,,,,Asia,Viet Nam,Son La,IM,1,40137,12
21.377134,107.077493,As32210,,,,,Asia,Viet Nam,Lang Son,IM,1,40149,12
21.787698,104.231625,As32378,,,,,Asia,Viet Nam,Yen Bai,IM,1,40137,16
21.321198,106.266375,As32410,,,,,Asia,Viet Nam,Bac Giang,IM,1,40149,12
12.339846,107.844821,As36650,,,,,Asia,Viet Nam,Dak Nong,IM,2,40210,13
9.592856,105.940411,As42443,,,,,Asia,Viet Nam,Soc Trang,IM,14,41402,13
13.174689,109.280806,As36270,,,,,Asia,Viet Nam,Phu Yen,IM,2,40211,14
12.231926,107.539216,As36669,,,,,Asia,Viet Nam,Dak Nong,IM,1,40152,11
11.316422,107.714063,As36372,,,,,Asia,Viet Nam,Binh Thuan,IM,1,40152,12
12.13565,108.255708,As36188,,,,,Asia,Viet Nam,Lam Dong,IM,1,40152,11
22.199425,105.896693,As32393,,,,,Asia,Viet Nam,Bac Kan,IM,1,40149,12
12.122966,107.234273,As36652,,,,,Asia,Viet Nam,Dak Nong,IM,2,40210,12
22.566432,106.433042,As32174,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,21
10.662989,105.768148,As42321,,,,,Asia,Viet Nam,Dong Thap,IM,1,40165,12
21.344398,104.504425,As32098,,,,,Asia,Viet Nam,Son La,IM,1,40137,16
22.751705,105.968505,As32165,,,,,Asia,Viet Nam,Cao Bang,IM,1,40149,21
12.179701,108.991265,As36254,,,,,Asia,Viet Nam,Khanh Hoa,IM,1,40152,14
20.966172,103.984047,As32080,,,,,Asia,Viet Nam,Son La,IM,1,40137,12
16.728888,106.614807,As36338,,,,,Asia,Viet Nam,Quang Tri,IM,1,40136,11
13.794302,109.075177,As36232,,,,,Asia,Viet Nam,Binh Dinh,IM,2,40211,12
